"source","target","year","title","type"
"Bruno Mueller*", "Stuttgart* Conducted By Rolf Reinhardt","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Pro Musica Orchestra", "Stuttgart* Conducted By Rolf Reinhardt","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bach*", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Friedrike Sailer*", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Johannes Feyerabend", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bruno Mueller*", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Pro Musica Orchestra", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Stuttgart* Conducted By Rolf Reinhardt", "Rudy Van Gelder","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"The Gil Mellé Quartet*", "Lou Mecca","1954", "The Gil Mellé Quartet Volume 3","master"
"The Gil Mellé Quartet*", "Rudy Van Gelder","1954", "The Gil Mellé Quartet Volume 3","master"
"Lou Mecca", "Rudy Van Gelder","1954", "The Gil Mellé Quartet Volume 3","master"
"Jay*", "Kai*","1954", "Jay & Kai","master"
"Jay*", "Rudy Van Gelder","1954", "Jay & Kai","master"
"Kai*", "Rudy Van Gelder","1954", "Jay & Kai","master"
"Teddy Charles West Coasters*", "Wardell Gray","1954", "So Long Broadway / Nobody's Heart","master"
"Teddy Charles West Coasters*", "Teddy Charles New Directions*","1954", "So Long Broadway / Nobody's Heart","master"
"Wardell Gray", "Teddy Charles New Directions*","1954", "So Long Broadway / Nobody's Heart","master"
"Teddy Charles West Coasters*", "Rudy Van Gelder","1954", "So Long Broadway / Nobody's Heart","master"
"Wardell Gray", "Rudy Van Gelder","1954", "So Long Broadway / Nobody's Heart","master"
"Teddy Charles New Directions*", "Rudy Van Gelder","1954", "So Long Broadway / Nobody's Heart","master"
"Erroll Garner", "Billy Taylor","1955", "Back To Back","release"
"Erroll Garner", "Rudy Van Gelder","1955", "Back To Back","release"
"Billy Taylor", "Rudy Van Gelder","1955", "Back To Back","release"
"Bud Freeman Quintet", "Ruby Braff","1955", "The Jazz Scene","release"
"Bud Freeman Quintet", "Rudy Van Gelder","1955", "The Jazz Scene","release"
"Ruby Braff", "Rudy Van Gelder","1955", "The Jazz Scene","release"
"Beethoven*", "Mozart*","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Beethoven*", "Guiomar Novaes","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Mozart*", "Guiomar Novaes","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Beethoven*", "Rudy Van Gelder","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Mozart*", "Rudy Van Gelder","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Guiomar Novaes", "Rudy Van Gelder","1955", "Clair De Lune Sonate N° 14 En Ut Diese Mineur, Opus 27 N° 2 / Marche Turque Sonate N° 11 En La Majeur, K. 331","release"
"Bobby Scott", "Wally Cirillo","1955", "Cirillo & Scott","release"
"Bobby Scott", "Rudy Van Gelder","1955", "Cirillo & Scott","release"
